query_id,query_text,doc_id,passage_preview,relevant
1,"to be, or not to be",28860,"﻿The Project Gutenberg eBook of The Memoirs, Correspondence, and Miscellanies, From the Papers of Thomas Jefferson",0
1,"to be, or not to be",2,﻿The Project Gutenberg eBook of The United States Bill of Rights,0
1,"to be, or not to be",58113,"﻿The Project Gutenberg eBook of An Act to Provide for the Paving, Gravelling, Lighting, and Watching Certain Footways and Carriageways in and Near Brompton Square",0
1,"to be, or not to be",62016,"﻿The Project Gutenberg eBook of Acts of 30° & 43° Geo. III. relating to a district in the Parish of Saint Luke, Chelsea, called Hans Town",0
1,"to be, or not to be",8142,﻿The Project Gutenberg eBook of The Riot Act,0
1,"to be, or not to be",16377,﻿The Project Gutenberg eBook of The blue book of chess,0
1,"to be, or not to be",31423,﻿The Project Gutenberg eBook of In-Door Gardening for Every Week in the Year,0
1,"to be, or not to be",8283,﻿The Project Gutenberg eBook of The World English Bible (WEB): Titus,0
1,"to be, or not to be",67553,﻿The Project Gutenberg eBook of Etiquette for Little Folks,0
1,"to be, or not to be",69318,"﻿The Project Gutenberg eBook of Youthful folly detected: Written for the benefit of youth, particularly the female sex",0
1,"to be, or not to be",56181,"﻿The Project Gutenberg eBook of The Ohio Journal of Science. Vol. XVI., No. 2 (December, 1915)",0
1,"to be, or not to be",4543,﻿The Project Gutenberg eBook of The Querist,0
1,"to be, or not to be",8852,"﻿The Project Gutenberg eBook of Weymouth New Testament in Modern Speech, 3 John",0
1,"to be, or not to be",59122,﻿The Project Gutenberg eBook of Index of the Project Gutenberg Works of Lord Byron,0
1,"to be, or not to be",42717,﻿The Project Gutenberg eBook of Regulations for the establishment and government of the Royal Military Asylum,0
1,"to be, or not to be",54269,"﻿The Project Gutenberg eBook of A Letter to the Rev. William Maskell, A.M",0
1,"to be, or not to be",33333,﻿The Project Gutenberg eBook of The Statute of Anne,0
1,"to be, or not to be",28256,﻿The Project Gutenberg eBook of Thoughts on a Revelation,0
1,"to be, or not to be",62064,"﻿The Project Gutenberg eBook of Rules of the Western Grammar School, Brompton",0
1,"to be, or not to be",54515,"﻿The Project Gutenberg eBook of Instructions for Officers and Non-Commissioned Officers of Cavalry, on Outpost Duty",0
1,"to be, or not to be",7566,﻿The Project Gutenberg eBook of Quotes and Images From Memoirs of Marguerite de Valois,0
1,"to be, or not to be",41450,﻿The Project Gutenberg eBook of The Project Gutenberg Collection of Works by Freethinkers,0
1,"to be, or not to be",7562,﻿The Project Gutenberg eBook of Quotes and Images From Memoirs of Madame De Montespan,0
1,"to be, or not to be",7924,"﻿The Project Gutenberg eBook of American Historical and Literary Curiosities: Second Series, Complete",0
1,"to be, or not to be",7901,"﻿The Project Gutenberg eBook of American Historical and Literary Curiosities, Part 01",0
1,"to be, or not to be",7902,"﻿The Project Gutenberg eBook of American Historical and Literary Curiosities, Part 02",0
1,"to be, or not to be",7903,"﻿The Project Gutenberg eBook of American Historical and Literary Curiosities, Part 03",0
1,"to be, or not to be",7904,"﻿The Project Gutenberg eBook of American Historical and Literary Curiosities, Part 04",0
1,"to be, or not to be",7905,"﻿The Project Gutenberg eBook of American Historical and Literary Curiosities, Part 05",0
1,"to be, or not to be",7906,"﻿The Project Gutenberg eBook of American Historical and Literary Curiosities, Part 06",0
1,"to be, or not to be",7907,"﻿The Project Gutenberg eBook of American Historical and Literary Curiosities, Part 07",0
1,"to be, or not to be",7908,"﻿The Project Gutenberg eBook of American Historical and Literary Curiosities, Part 08",0
1,"to be, or not to be",7909,"﻿The Project Gutenberg eBook of American Historical and Literary Curiosities, Part 09",0
1,"to be, or not to be",7910,"﻿The Project Gutenberg eBook of American Historical and Literary Curiosities, Part 10",0
1,"to be, or not to be",7923,"﻿The Project Gutenberg eBook of American Historical and Literary Curiosities, Series One",0
