rank	doc_id	score	passage_preview	start_line
1	36308	0.000579	JABBERWOCKY                                           29	112
2	20353	0.000252	Jabberwocky                                   Lewis Carroll        19	86
3	9380	0.000172	JABBERWOCKY                            Lewis Carroll	59
4	35418	0.000115	"and if the story had no other merit, ""The Jabberwocky"" alone would have"	3593
5	23545	0.000090	"Dong with the Luminous Nose"" and Carroll's ""Jabberwocky"" are,"	112
6	30778	0.000084	"Nothing of its kind better than ""Jabberwocky"" has ever been written,"	1257
7	11483	0.000082	"the Looking-Glass""--""Jabberwocky"" in Latin--C.S."	195
8	12	0.000065	JABBERWOCKY.	442
9	35688	0.000064	JABBERWOCKY	504
10	32587	0.000050	Jabberwocky emerged from the loudspeaker, ending in a chorus of,	2457
11	59004	0.000036	immortal poem, “Jabberwocky,” has become a classic; but even in that	253
12	10688	0.000036	and Avernus, Jabberwocky, Hornets, Nevermore, Gibraltar, Tamaracks,	462
13	23972	0.000031	The Jabberwocky of Authors             _Harry Persons Taber_         437	636
14	42574	0.000031	walk I'll go with you and do what I can in case the Jabberwocky or the	3606
15	41861	0.000030	toothless Jabberwocky. Miss Talbot tried the effect of cool, insistent	3089
16	61325	0.000027	"did ""gyre and gimbel"" in the immortal poem ""Jabberwocky."""	7357
17	43223	0.000022	JABBERWOCKY.	15223
18	13784	0.000020	of the Jabberwocky of the Rennes court-martial as it is reported in	98
19	51248	0.000019	"the Carpenter,"" ""Jabberwocky."""	958
20	35138	0.000017	"Jabberwocky""; even grown-ups dote on ""Little Billee,"" as Thackeray"	730
21	72054	0.000016	Jabberwocky.	4650
22	23800	0.000015	"Lewis Carroll's immortal ""Jabberwocky"" shows much rich humor of the"	3594
23	35341	0.000015	"""The Jabberwocky,"" _Alice in Wonderland_."	6467
24	56208	0.000014	II. Jabberwocky	13472
25	54133	0.000013	Carpenter,” and Marie-Celeste's in the recitation of “Jabberwocky”	6389
26	23780	0.000012	the forest, and their language was decidedly Jabberwocky. The little	3904
27	6588	0.000011	Jabberwocky	399
28	37664	0.000011	"""Good Lord! What can I say? I can recite the Jabberwocky or the alphabet"	4402
29	65688	0.000009	sense in which we talk of the nonsense of Jabberwocky or the Land where	3853
30	50807	0.000009	night I would repeat the Jabberwocky. It had taken me a whole week	988
31	25730	0.000009	pleasurable one word jabberwocky despite the fiercely driven	813
32	70887	0.000008	The Jabberwocky (Dodgson)	13325
33	66346	0.000007	the second movement, “Jabberwocky,” the theme of the frightful beast,	12713
34	38	0.000006	":burble: [from Lewis Carroll's ""Jabberwocky""] v. Like {flame},"	3965
35	817	0.000005	":burble: /v./  [from Lewis Carroll's ""Jabberwocky""] Like"	2965
36	32267	0.000005	"""Jabberwocky."" Carroll, with a sense of mathematical neatness, makes"	18104
37	70546	0.000004	JABBERWOCKY.	8774
38	3008	0.000004	"[from Lewis Carroll's ""Jabberwocky""] Like flame, but connotes that the source is truly"	8680
